NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2022-07-06;2022-07-12;--;;;0.0000;0.0000;545;0.0000;2013;2667;10.4078;109;11;1;221;324;229;238;1896;2591;43;20
CATALUNYA;GLOBAL;2022-07-06;2022-07-12;Si;;;2410.9415;1110.5102;842;15562.9706;6952;4848;22.4326;159;3;48;349;493;379;486;2278;1578;4;5
CATALUNYA;GLOBAL;2022-07-06;2022-07-12;No;377.392;0.816498;462.2076;189.7637;14767;787.5829;29915;31373;34.6406;1609;127;155;3238;11529;3430;9289;18361;18356;916;3462
CATALUNYA;GLOBAL;2022-07-05;2022-07-11;No;412.564;0.843134;489.3223;206.3922;16061;829.6299;31207;33353;35.5480;1648;127;165;3413;12648;3596;10133;19119;19502;925;3389
CATALUNYA;GLOBAL;2022-07-05;2022-07-11;--;;;0.0000;0.0000;593;0.0000;2133;2721;11.2136;107;15;1;236;357;244;279;2012;2652;35;17
CATALUNYA;GLOBAL;2022-07-05;2022-07-11;Si;;;2521.7288;1221.2975;926;16548.1858;7218;5329;22.8164;151;2;43;393;533;422;521;2417;1716;4;6
CATALUNYA;GLOBAL;2022-07-04;2022-07-10;--;;;0.0000;0.0000;674;0.0000;2250;2789;12.0074;118;17;1;279;395;283;299;2138;2709;33;19
CATALUNYA;GLOBAL;2022-07-04;2022-07-10;Si;;;2575.8035;1296.4745;983;16808.0083;7542;5202;23.2006;149;2;41;421;562;439;557;2513;1780;4;9
CATALUNYA;GLOBAL;2022-07-04;2022-07-10;No;453.356;0.860656;526.7558;228.7907;17804;873.1417;32199;35747;37.0934;1681;130;160;3652;14152;3843;11211;19769;20815;921;3390
CATALUNYA;GLOBAL;2022-07-03;2022-07-09;No;470.715;0.867845;542.3949;236.0513;18369;884.0133;32445;36347;37.5808;1684;126;135;3729;14640;3915;11483;19874;21099;904;3397
CATALUNYA;GLOBAL;2022-07-03;2022-07-09;--;;;0.0000;0.0000;683;0.0000;2275;2642;12.4682;109;15;0;285;398;289;299;2159;2557;30;19
CATALUNYA;GLOBAL;2022-07-03;2022-07-09;Si;;;2611.4137;1292.5179;980;16862.0830;7530;5255;23.1037;146;2;37;418;562;439;557;2508;1803;4;9
CATALUNYA;GLOBAL;2022-07-02;2022-07-08;--;;;0.0000;0.0000;709;0.0000;2366;2544;13.0102;122;17;0;294;415;294;318;2245;2459;25;17
